text(帛琉)	locatedIn	text(ميكرونيسيا)
text(Palau)	locatedIn	text(Oceanië)
text(馬爾代夫)	locatedIn	text(South:Asia)
text(المالديف)	locatedIn	text(Azië)
text(Brunei)	locatedIn	text(Sudeste:Asiático)
text(بروناي)	locatedIn	text(Asia)
text(Brunei)	neighborOf	text(ماليزيا)
text(Japón)	locatedIn	text(東亞)
text(Japan)	locatedIn	text(Asia)
text(Países:Bajos)	neighborOf	text(ألمانيا)
text(荷蘭)	neighborOf	text(بلجيكا)
text(تركيا)	neighborOf	text(Armenia)
text(Turquía)	neighborOf	text(أذربيجان)
text(Turkey)	neighborOf	text(إيران)
text(तुर्की)	neighborOf	text(Griekenland)
text(Turkije)	neighborOf	text(Georgia)
text(土耳其)	neighborOf	text(Bulgaria)
text(تركيا)	neighborOf	text(Irak)
text(Turquía)	neighborOf	text(Syrië)
text(Angola)	locatedIn	text(وسط:إفريقيا)
text(安哥拉)	locatedIn	text(Africa)
text(أنغولا)	neighborOf	text(Congo-Kinshasa)
text(Angola)	neighborOf	text(नामीबिया)
text(अंगोला)	neighborOf	text(贊比亞)
text(Angola)	neighborOf	text(جمهورية:الكونغو)
text(आर्मीनिया)	locatedIn	text(पश्चिमी:एशिया)
text(亞美尼亞)	locatedIn	text(亞洲)
text(Armenia)	neighborOf	text(जॉर्जिया)
text(أرمينيا)	neighborOf	text(Azerbeidzjan)
text(Armenië)	neighborOf	text(Iran)
text(Armenia)	neighborOf	text(Turkey)
text(Antigua:en:Barbuda)	locatedIn	text(Caribbean)
text(安提瓜和巴布达)	locatedIn	text(América)
text(Esuatini)	locatedIn	text(إفريقيا:الجنوبية)
text(Swaziland)	locatedIn	text(África)
text(एस्वातीनी)	neighborOf	text(Sudáfrica)
text(Eswatini)	neighborOf	text(موزمبيق)
text(Wallis:y:Futuna)	locatedIn	text(بولنيزيا)
text(Wallis:en:Futuna)	locatedIn	text(大洋洲)
text(उरुग्वे)	locatedIn	text(أمريكا:الجنوبية)
text(Uruguay)	locatedIn	text(Americas)
text(Uruguay)	neighborOf	text(阿根廷)
text(Uruguay)	neighborOf	text(巴西)
text(Zambia)	locatedIn	text(East:Africa)
text(Zambia)	locatedIn	text(Afrika)
text(زامبيا)	neighborOf	text(Tanzania)
text(ज़ाम्बिया)	neighborOf	text(Mozambique)
text(Zambia)	neighborOf	text(Democratic:Republic:of:the:Congo)
text(贊比亞)	neighborOf	text(Angola)
text(Zambia)	neighborOf	text(Botswana)
text(Zambia)	neighborOf	text(Zimbabwe)
text(زامبيا)	neighborOf	text(Namibië)
text(ज़ाम्बिया)	neighborOf	text(Malawi)
text(قبرص)	locatedIn	text(पूर्वी:यूरोप)
text(Cyprus)	locatedIn	text(Europe)
text(साइप्रस)	neighborOf	text(United:Kingdom)
text(المملكة:المتحدة)	locatedIn	text(أوروبا:الشمالية)
text(United:Kingdom)	locatedIn	text(Europa)
text(Reino:Unido)	neighborOf	text(英国)
text(बुरुण्डी)	locatedIn	text(شرق:إفريقيا)
text(Burundi)	locatedIn	text(अफ्रीका)
text(Burundi)	neighborOf	text(刚果民主共和国)
text(بوروندي)	neighborOf	text(Rwanda)
text(蒲隆地)	neighborOf	text(تنزانيا)
text(中非共和國)	locatedIn	text(Central:Africa)
text(جمهورية:إفريقيا:الوسطى)	locatedIn	text(非洲)
text(Central:African:Republic)	neighborOf	text(تشاد)
text(Centraal-Afrikaanse:Republiek)	neighborOf	text(剛果共和國)
text(República:Centroafricana)	neighborOf	text(جمهورية:الكونغو:الديمقراطية)
text(मध्य:अफ़्रीकी:गणराज्य)	neighborOf	text(Zuid-Soedan)
text(中非共和國)	neighborOf	text(Camerún)
text(جمهورية:إفريقيا:الوسطى)	neighborOf	text(Soedan)
text(Tonga)	locatedIn	text(पोलीनेशिया)
text(東加)	locatedIn	text(أوقيانوسيا)
text(कोत:दिव्वार)	locatedIn	text(West-Afrika)
text(科特迪瓦)	locatedIn	text(إفريقيا)
text(Ivoorkust)	neighborOf	text(Burkina:Faso)
text(Costa:de:Marfil)	neighborOf	text(घाना)
text(Ivory:Coast)	neighborOf	text(लाइबेरिया)
text(ساحل:العاج)	neighborOf	text(马里)
text(कोत:दिव्वार)	neighborOf	text(几内亚)
text(सिएरा:लियोन)	neighborOf	text(利比里亞)
text(سيراليون)	neighborOf	text(Guinea)
text(Mayotte)	locatedIn	text(Oost-Afrika)
text(马约特)	locatedIn	text(Africa)
text(بولندا)	neighborOf	text(德國)
text(Polonia)	neighborOf	text(Oekraïne)
text(Polen)	neighborOf	text(斯洛伐克)
text(波蘭)	neighborOf	text(Bielorrusia)
text(Poland)	neighborOf	text(Russia)
text(पोलैंड)	neighborOf	text(लिथुआनिया)
text(بولندا)	neighborOf	text(جمهورية:التشيك)
text(कज़ाख़िस्तान)	locatedIn	text(Centraal-Azië)
text(Kazachstan)	locatedIn	text(آسيا)
text(Kazajistán)	neighborOf	text(تركمانستان)
text(哈萨克斯坦)	neighborOf	text(People's:Republic:of:China)
text(Kazakhstan)	neighborOf	text(Kirguistán)
text(كازاخستان)	neighborOf	text(उज़्बेकिस्तान)
text(कज़ाख़िस्तान)	neighborOf	text(रूस)
text(Uzbekistan)	locatedIn	text(中亚)
text(أوزبكستان)	locatedIn	text(एशिया)
text(乌兹别克斯坦)	neighborOf	text(Afghanistan)
text(Uzbekistán)	neighborOf	text(土庫曼斯坦)
text(Oezbekistan)	neighborOf	text(Kazachstan)
text(उज़्बेकिस्तान)	neighborOf	text(吉尔吉斯斯坦)
text(Uzbekistan)	neighborOf	text(ताजीकिस्तान)
text(Islas:Turcas:y:Caicos)	locatedIn	text(Caraïben)
text(Turks:and:Caicos:Islands)	locatedIn	text(أمريكتان)
text(नया:कैलेडोनिया)	locatedIn	text(Melanesia)
text(New:Caledonia)	locatedIn	text(Oceanía)
text(巴基斯坦)	neighborOf	text(中华人民共和国)
text(Pakistan)	neighborOf	text(Afghanistan)
text(Pakistán)	neighborOf	text(ईरान)
text(पाकिस्तान)	neighborOf	text(India)
text(अर्जेण्टीना)	locatedIn	text(南美洲)
text(Argentinië)	locatedIn	text(美洲)
text(الأرجنتين)	neighborOf	text(Bolivia)
text(Argentina)	neighborOf	text(Chili)
text(Argentina)	neighborOf	text(Brazilië)
text(阿根廷)	neighborOf	text(Paraguay)
text(अर्जेण्टीना)	neighborOf	text(烏拉圭)
text(كوبا)	locatedIn	text(Caribe)
text(古巴)	locatedIn	text(महाअमेरिका)
text(塞爾維亞)	neighborOf	text(Macedonia:del:Norte)
text(Servië)	neighborOf	text(मॉन्टेनीग्रो)
text(सर्बिया)	neighborOf	text(कोसोवो:गणराज्य)
text(Serbia)	neighborOf	text(बोस्निया:और:हर्ज़ेगोविना)
text(صربيا)	neighborOf	text(क्रोएशिया)
text(Serbia)	neighborOf	text(Hongarije)
text(塞爾維亞)	neighborOf	text(Bulgarije)
text(Servië)	neighborOf	text(Romania)
text(República:Checa)	locatedIn	text(Oost-Europa)
text(चेक:गणराज्य)	locatedIn	text(أوروبا)
text(捷克)	neighborOf	text(जर्मनी)
text(Czech:Republic)	neighborOf	text(ऑस्ट्रिया)
text(Tsjechië)	neighborOf	text(Polonia)
text(جمهورية:التشيك)	neighborOf	text(स्लोवाकिया)
text(Nicaragua)	neighborOf	text(هندوراس)
text(निकारागुआ)	neighborOf	text(Costa:Rica)
text(Vietnam)	locatedIn	text(दक्षिण:पूर्व:एशिया)
text(Vietnam)	locatedIn	text(Azië)
text(Vietnam)	neighborOf	text(柬埔寨)
text(越南)	neighborOf	text(Laos)
text(فيتنام)	neighborOf	text(الصين)
text(نييوي)	locatedIn	text(玻里尼西亞)
text(निउए)	locatedIn	text(ओशिआनिया)
text(加拿大)	locatedIn	text(北美洲)
text(Canadá)	locatedIn	text(Amerika)
text(Canada)	neighborOf	text(United:States)
text(سلوفاكيا)	neighborOf	text(Ukraine)
text(Slowakije)	neighborOf	text(Polen)
text(Slovakia)	neighborOf	text(奧地利)
text(Eslovaquia)	neighborOf	text(हंगरी)
text(斯洛伐克)	neighborOf	text(República:Checa)
text(Mozambique)	neighborOf	text(Tanzania)
text(मोज़ाम्बीक)	neighborOf	text(斯威士兰)
text(莫桑比克)	neighborOf	text(Zimbabwe)
text(Mozambique)	neighborOf	text(Zambia)
text(موزمبيق)	neighborOf	text(Malawi)
text(Mozambique)	neighborOf	text(جنوب:إفريقيا)
text(Aruba)	locatedIn	text(الكاريبي)
text(Aruba)	locatedIn	text(América)
text(Bolivia)	locatedIn	text(América:del:Sur)
text(Bolivia)	locatedIn	text(Americas)
text(बोलिविया)	neighborOf	text(智利)
text(بوليفيا)	neighborOf	text(ब्राज़ील)
text(玻利維亞)	neighborOf	text(باراغواي)
text(Bolivia)	neighborOf	text(Argentinië)
text(Bolivia)	neighborOf	text(Perú)
text(Colombia)	locatedIn	text(दक्षिण:अमेरिका)
text(哥伦比亚)	locatedIn	text(أمريكتان)
text(Colombia)	neighborOf	text(ईक्वाडोर)
text(कोलम्बिया)	neighborOf	text(البرازيل)
text(كولومبيا)	neighborOf	text(Panama)
text(Colombia)	neighborOf	text(فنزويلا)
text(Colombia)	neighborOf	text(بيرو)
text(Fiji)	locatedIn	text(Melanesia)
text(Fiji)	locatedIn	text(Oceania)
text(Congo-Brazzaville)	neighborOf	text(加蓬)
text(Republic:of:the:Congo)	neighborOf	text(कांगो:लोकतान्त्रिक:गणराज्य)
text(कांगो:गणराज्य)	neighborOf	text(安哥拉)
text(República:del:Congo)	neighborOf	text(कैमरुन)
text(جمهورية:الكونغو)	neighborOf	text(Central:African:Republic)
text(Arabia:Saudí)	neighborOf	text(Qatar)
text(沙特阿拉伯)	neighborOf	text(संयुक्त:अरब:अमीरात)
text(السعودية)	neighborOf	text(約旦)
text(सउदी:अरब)	neighborOf	text(اليمن)
text(Saudi:Arabia)	neighborOf	text(Oman)
text(Saoedi-Arabië)	neighborOf	text(科威特)
text(Arabia:Saudí)	neighborOf	text(العراق)
text(El:Salvador)	locatedIn	text(Central:America)
text(अल:साल्वाडोर)	locatedIn	text(美洲)
text(السلفادور)	neighborOf	text(غواتيمالا)
text(薩爾瓦多)	neighborOf	text(洪都拉斯)
text(Madagascar)	locatedIn	text(东部非洲)
text(मेडागास्कर)	locatedIn	text(África)
text(Australia)	locatedIn	text(nan)
text(Australia)	locatedIn	text(Oceanië)
text(纳米比亚)	locatedIn	text(Zuidelijk:Afrika)
text(Namibia)	locatedIn	text(Afrika)
text(Namibia)	neighborOf	text(贊比亞)
text(ناميبيا)	neighborOf	text(أنغولا)
text(नामीबिया)	neighborOf	text(南非)
text(Namibië)	neighborOf	text(बोत्सवाना)
text(Tuvalu)	locatedIn	text(Polynesië)
text(तुवालू)	locatedIn	text(大洋洲)
text(斯瓦巴和扬马延)	locatedIn	text(Northern:Europe)
text(Spitsbergen:en:Jan:Mayen)	locatedIn	text(欧洲)
text(Man)	locatedIn	text(उत्तरी:यूरोप)
text(جزيرة:مان)	locatedIn	text(Europa)
text(圭亚那)	neighborOf	text(Brasil)
text(Guyana)	neighborOf	text(Surinam)
text(غيانا)	neighborOf	text(委內瑞拉)
text(वैटिकन:नगर)	locatedIn	text(Zuid-Europa)
text(梵蒂岡城國)	locatedIn	text(यूरोप)
text(Vaticaanstad)	neighborOf	text(意大利)
text(British:Indian:Ocean:Territory)	locatedIn	text(África:Oriental)
text(Territorio:Británico:del:Océano:Índico)	locatedIn	text(अफ्रीका)
text(नाइजीरिया)	locatedIn	text(غرب:إفريقيا)
text(奈及利亞)	locatedIn	text(非洲)
text(نيجيريا)	neighborOf	text(乍得)
text(Nigeria)	neighborOf	text(Níger)
text(Nigeria)	neighborOf	text(喀麦隆)
text(Nigeria)	neighborOf	text(貝南)
text(Duitsland)	neighborOf	text(Denmark)
text(Alemania)	neighborOf	text(Netherlands)
text(Germany)	neighborOf	text(波蘭)
text(ألمانيا)	neighborOf	text(لوكسمبورغ)
text(德國)	neighborOf	text(België)
text(जर्मनी)	neighborOf	text(Suiza)
text(Duitsland)	neighborOf	text(Austria)
text(Alemania)	neighborOf	text(France)
text(Germany)	neighborOf	text(चेक:गणराज्य)
text(Burkina:Faso)	neighborOf	text(Togo)
text(بوركينا:فاسو)	neighborOf	text(بنين)
text(Burkina:Faso)	neighborOf	text(النيجر)
text(बुर्किना:फासो)	neighborOf	text(Ghana)
text(布吉納法索)	neighborOf	text(माली)
text(Burkina:Faso)	neighborOf	text(科特迪瓦)
text(Tanzania)	neighborOf	text(Uganda)
text(तंज़ानिया)	neighborOf	text(Mozambique)
text(坦桑尼亞)	neighborOf	text(República:Democrática:del:Congo)
text(Tanzania)	neighborOf	text(Kenia)
text(تنزانيا)	neighborOf	text(رواندا)
text(Tanzania)	neighborOf	text(Zambia)
text(Tanzania)	neighborOf	text(मलावी)
text(तंज़ानिया)	neighborOf	text(Burundi)
text(उत्तरी:मारियाना:द्वीप)	locatedIn	text(माइक्रोनीशिया)
text(Noordelijke:Marianen)	locatedIn	text(أوقيانوسيا)
text(Belize)	locatedIn	text(أمريكا:الوسطى)
text(बेलीज़)	locatedIn	text(महाअमेरिका)
text(Belice)	neighborOf	text(Guatemala)
text(بليز)	neighborOf	text(墨西哥)
text(नॉर्वे)	neighborOf	text(Zweden)
text(النرويج)	neighborOf	text(Finland)
text(Noorwegen)	neighborOf	text(俄罗斯)
text(جزر:كوكوس)	locatedIn	text(nan)
text(कोकोस:(कीलिंग):द्वीपसमूह)	locatedIn	text(Oceanía)
text(Laos)	locatedIn	text(Zuidoost-Azië)
text(लाओस)	locatedIn	text(Asia)
